ticker,expirationDate,optionType,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL,2025-11-07,put,AAPL251107P00110000,2025-11-03 15:19:12+00:00,110.0,0.01,0.0,0.01,0.0,0.0,101.0,128,5.12500359375,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00125000,2025-10-23 14:44:51+00:00,125.0,0.01,0.0,0.01,0.0,0.0,100.0,136,4.375004531249999,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00130000,2025-10-20 17:40:07+00:00,130.0,0.01,0.0,0.01,0.0,0.0,,1,4.2500046875,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00135000,2025-10-24 17:49:14+00:00,135.0,0.01,0.0,0.01,0.0,0.0,128.0,119,4.000005,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00140000,2025-10-24 19:52:48+00:00,140.0,0.01,0.0,0.01,0.0,0.0,30.0,945,3.750000625,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00145000,2025-10-22 16:14:58+00:00,145.0,0.02,0.0,0.01,0.0,0.0,1.0,7,3.6250009375000003,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00150000,2025-10-28 16:11:28+00:00,150.0,0.01,0.0,0.01,0.0,0.0,25.0,103,3.3750015624999996,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00155000,2025-10-28 19:58:34+00:00,155.0,0.01,0.0,0.18,0.0,0.0,100.0,194,4.23437970703125,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00160000,2025-10-29 14:39:35+00:00,160.0,0.01,0.0,0.01,0.0,0.0,46.0,225,3.06250234375,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00165000,2025-10-31 13:30:02+00:00,165.0,0.02,0.0,0.01,0.0,0.0,11.0,98,2.8750028125,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00170000,2025-10-31 18:31:46+00:00,170.0,0.01,0.0,0.01,0.0,0.0,6.0,123,2.750003125,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00175000,2025-10-31 18:31:54+00:00,175.0,0.01,0.0,0.01,0.0,0.0,2.0,444,2.56250359375,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00180000,2025-10-31 18:32:02+00:00,180.0,0.01,0.0,0.01,0.0,0.0,2.0,338,2.3750040624999995,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00185000,2025-11-06 14:33:58+00:00,185.0,0.01,0.0,0.01,0.0,0.0,1.0,205,2.2500043749999996,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00190000,2025-11-03 14:40:55+00:00,190.0,0.01,0.0,0.01,0.0,0.0,1.0,1317,2.1250046874999997,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00195000,2025-11-03 14:30:02+00:00,195.0,0.02,0.0,0.18,0.0,0.0,11.0,60,2.60156599609375,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00200000,2025-11-06 17:28:29+00:00,200.0,0.01,0.0,0.01,0.0,0.0,11.0,1026,1.8125009374999999,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00205000,2025-11-06 16:05:31+00:00,205.0,0.01,0.0,0.01,0.0,0.0,9.0,222,1.6875015625,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00210000,2025-11-05 14:44:48+00:00,210.0,0.01,0.0,0.08,0.0,0.0,1.0,472,1.875000625,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00215000,2025-11-05 18:33:34+00:00,215.0,0.01,0.0,0.01,0.0,0.0,12.0,518,1.40625296875,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00220000,2025-11-06 14:40:43+00:00,220.0,0.01,0.0,0.01,0.0,0.0,4.0,2648,1.2812535937499998,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00222500,2025-11-04 16:51:35+00:00,222.5,0.01,0.0,0.18,0.0,0.0,7.0,589,1.640626796875,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00225000,2025-11-05 18:33:34+00:00,225.0,0.02,0.0,0.01,0.0,0.0,15.0,1794,1.125004375,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00227500,2025-11-05 14:30:02+00:00,227.5,0.01,0.0,0.18,0.0,0.0,25.0,640,1.47265888671875,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00230000,2025-11-06 15:19:57+00:00,230.0,0.01,0.0,0.01,0.0,0.0,3.0,2680,1.000005,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00232500,2025-11-05 18:23:00+00:00,232.5,0.01,0.0,0.01,0.0,0.0,345.0,1266,0.937500625,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00235000,2025-11-06 19:32:45+00:00,235.0,0.01,0.0,0.01,0.0,0.0,43.0,1279,0.87500125,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00237500,2025-11-06 14:37:52+00:00,237.5,0.01,0.0,0.18,0.0,0.0,7.0,793,1.142582412109375,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00240000,2025-11-06 20:52:43+00:00,240.0,0.01,0.0,0.01,0.0,0.0,65.0,3625,0.7500025,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00242500,2025-11-06 19:53:02+00:00,242.5,0.01,0.0,0.1,0.0,0.0,21.0,1345,0.9023447265625,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00245000,2025-11-06 20:27:32+00:00,245.0,0.01,0.0,0.01,0.0,0.0,133.0,4517,0.64062859375,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00247500,2025-11-06 20:10:38+00:00,247.5,0.01,0.0,0.01,0.0,0.0,479.0,2514,0.57812921875,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00250000,2025-11-06 20:36:55+00:00,250.0,0.01,0.01,0.02,0.0,0.0,717.0,8189,0.57812921875,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00252500,2025-11-06 20:53:18+00:00,252.5,0.02,0.0,0.02,0.01,100.0,200.0,2107,0.5273484765625001,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00255000,2025-11-06 20:53:28+00:00,255.0,0.02,0.01,0.02,-0.01,-33.333336,4093.0,7776,0.46094289062500005,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00257500,2025-11-06 20:59:31+00:00,257.5,0.04,0.03,0.04,-0.010000002,-20.000002,5140.0,4717,0.42578699218750005,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00260000,2025-11-06 20:59:38+00:00,260.0,0.06,0.05,0.06,-0.040000003,-40.000004,8562.0,15606,0.37500625,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00262500,2025-11-06 20:59:53+00:00,262.5,0.12,0.12,0.14,-0.1,-45.454544,13036.0,6061,0.34668622070312494,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00265000,2025-11-06 20:59:59+00:00,265.0,0.33,0.31,0.34,-0.14999998,-31.249996,30735.0,11336,0.3232489550781249,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00267500,2025-11-06 20:59:59+00:00,267.5,0.82,0.78,0.83,-0.18,-18.0,30692.0,8542,0.3090889404296875,False,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00270000,2025-11-06 20:59:59+00:00,270.0,1.74,1.68,1.76,-0.15999997,-8.421051,63210.0,7294,0.2915109912109374,True,REGULAR,USD
AAPL,2025-11-07,put,AAPL251107P00272500,2025-11-06 20:59:48+00:00,272.5,3.25,3.1,3.35,-0.03999996,-1.2158043,16506.0,1639,0.28882547119140617,True,REGULAR,USD
